Show_ID,Performing,date,time,genre,venue,city,state,long,lat
270,Yachtley Crew,2023-12-28,20:00:00,"{'id': 'KnvZfZ7vAe6', 'name': 'Undefined'}",City National Grove of Anaheim,Anaheim,CA,-117.88624041,33.80303485
271,Heart,2023-12-28,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Acrisure Arena at Greater Palm Springs,Palm Desert,CA,-116.542747,33.825315
272,Enlight Presents : Pre-nye (the Last Thursday Of The Year),2023-12-28,22:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",The Regent Theater,Los Angeles,CA,-118.24799,34.0473
273,Caliente Band 805,2023-12-29,19:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
274,Pretty Pape$,2023-12-29,19:00:00,"{'id': 'KnvZfZ7vAv1', 'name': 'Hip-Hop/Rap'}",The Parish at House of Blues Anaheim,Anaheim,CA,-117.912474,33.806533
275,Pretty But Wicked + KCRW pres : Pearl & The Oysters w/ Vinyl Williams,2023-12-29,19:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Echoplex,Los Angeles,CA,-118.2606316,34.0775847
276,Black Lips,2023-12-29,19:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Constellation Room,Santa Ana,CA,-117.917493,33.699879
277,Baby Smoove,2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",The Fonda Theatre,Los Angeles,CA,-118.326897,34.0998
278,The Windbreakers,2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",Saint Rocke,Hermosa Beach,CA,-118.3964,33.865101
279,Straight No Chaser,2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAev', 'name': 'Pop'}",Cerritos Center,Cerritos,CA,-118.067596,33.867298
280,Emo Night Brooklyn - Feat. Forrest Kline of Hellogoodbye (18+),2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",The Observatory,Santa Ana,CA,-117.9175717,33.6997648
281,Jerry Harrison & Adrian Belew: REMAIN IN LIGHT,2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAvd', 'name': 'Blues'}",City National Grove of Anaheim,Anaheim,CA,-117.88624041,33.80303485
282,3TEETH,2023-12-29,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Teragram Ballroom,Los Angeles,CA,-118.267076,34.051841
283,Led Zepagain,2023-12-29,21:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Canyon Club-CA,Agoura Hills,CA,-118.762497,34.140301
284,BAAB w/ Solid Gold,2023-12-29,21:30:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",The Moroccan Lounge,Los Angeles,CA,-118.23365,34.04898
285,DJ Party Pack,2023-12-29,22:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
286,Forever Midnight LA,2023-12-30,22:00:00,"{'id': 'KnvZfZ7vAe6', 'name': 'Undefined'}",Los Angeles Convention Center,Los Angeles,CA,-118.2698822,34.0431298
287,COUNTDOWN,2023-12-30,22:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",NOS Events Center,San Bernardino,CA,-117.291653,34.089696
288,Dayseeker,2023-12-30,18:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",House of Blues Anaheim,Anaheim,CA,-117.9229975,33.8095868
289,BreakThru Entertainment Presents,2023-12-30,18:30:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",The Parish at House of Blues Anaheim,Anaheim,CA,-117.912474,33.806533
290,NDR CVR,2023-12-30,19:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
291,The Roots,2023-12-30,19:00:00,"{'id': 'KnvZfZ7vAv1', 'name': 'Hip-Hop/Rap'}",The Wiltern,Los Angeles,CA,-118.30879207,34.06141494
292,KC And The Sunshine Band,2023-12-30,19:30:00,"{'id': 'KnvZfZ7vAev', 'name': 'Pop'}",Segerstrom Center for the Arts-Segerstrom Hall,Costa Mesa,CA,-117.908699,33.6791
293,The Red Pears,2023-12-30,20:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",The Novo by Microsoft,Los Angeles,CA,-118.266403,34.0397
294,Something Corporate,2023-12-30,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",City National Grove of Anaheim,Anaheim,CA,-117.88624041,33.80303485
295,Prince Again - A tribute to Prince,2023-12-30,21:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",Canyon Club-CA,Agoura Hills,CA,-118.762497,34.140301
296,Electric Feels: Indie Dance Party - 21+,2023-12-30,21:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",Echoplex,Los Angeles,CA,-118.2606316,34.0775847
297,DJ Atre,2023-12-30,22:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",Copper Blues Oxnard Resturant,Oxnard,CA,-119.176274,34.240229
298,Scam and Jam,2023-12-30,22:00:00,"{'id': 'KnvZfZ7vAvF', 'name': 'Dance/Electronic'}",The Regent Theater,Los Angeles,CA,-118.24799,34.0473
