Show_ID,Performing,date,time,genre,venue,city,state,long,lat
172,17th Annual Holiday Hop: Live from New York,2023-12-15,19:30:00,Rock,Webster Hall,New York,NY,-73.98923951,40.73170187
173,Lil Wayne,2023-12-15,20:00:00,Hip-Hop/Rap,Total Mortgage Arena,Bridgeport,CT,-73.1879718,41.1732362
174,Martina McBride,2023-12-15,20:00:00,Country,Premier Theater at Foxwoods Resort Casino,Mashantucket,CT,-71.9630872,41.4783608
175,Little Shop of Horrors,2023-12-15,20:00:00,Theatre,Westside Theatre Upstairs - NY,New York,NY,-73.9758,40.785999
176,Samara Joy: A Joyful Holiday,2023-12-15,20:00:00,Jazz,Apollo Theater,New York,NY,-73.95013312,40.80986245
177,Celebrate Tito Puente - The King of Latin Music,2023-12-15,20:00:00,Latin,Palladium Times Square ,New York City,NY,-73.985763,40.757201
178,The Dirty Sweet,2023-12-15,20:00:00,Other,XL Live,Harrisburg,PA,-74.7603259,40.2372006
179,The Townhall & Preemo Prod. Presents A Holiday Show W That Motown Band,2023-12-15,20:00:00,R&B,Town Hall,New York,NY,-73.98447747,40.75599205
180,KID SMOKO with Special Guests Sugar Pit and Monobloc,2023-12-15,21:00:00,Rock,Mercury Lounge,New York,NY,-73.986806,40.722036
181,MeanRed Presents Four Tet,2023-12-15,21:00:00,Dance/Electronic,Warsaw,Brooklyn,NY,-73.948408,40.722392
182,Mersiv,2023-12-15,23:00:00,Other,Webster Hall,New York,NY,-73.989098,40.731602
183,The Music Of Taylor Swift For Kids + More,2023-12-16,11:30:00,Rock,Garcia's at The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
184,Keystone Holiday Tattoo Jam,2023-12-16,12:00:00,Rock,Reverb,Reading,PA,-75.9196123,40.3563327
185,The Music Of Taylor Swift For Kids + More,2023-12-16,14:00:00,Rock,Garcia's at The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
186,Holiday Brass w/ New York Philharmonic,2023-12-16,14:00:00,Classical,David Geffen Hall,New York,NY,-73.9841,40.7761
187,Little Shop of Horrors,2023-12-16,14:00:00,Theatre,Westside Theatre Upstairs - NY,New York,NY,-73.9758,40.785999
188,Yacht Lobsters W/ Police Trib Band New York's Finest,2023-12-16,18:00:00,Rock,Gramercy Theatre,New York,NY,-73.98501292,40.73975368
189,Gary US Bonds Asbury Holiday Extravaganza!,2023-12-16,18:30:00,Rock,The Wonder Bar,Asbury Park,NJ,-73.99950139,40.22328639
190,Point Break,2023-12-16,18:30:00,Rock,Mercury Lounge,New York,NY,-73.986806,40.722036
191,In Love and Struggle,2023-12-16,19:00:00,Theatre,Minetta Lane Theatre,New York,NY,-74.0012676,40.7303577
192,New York Philharmonic w/ Handels Messiah,2023-12-16,19:00:00,Classical,David Geffen Hall,New York,NY,-73.9841,40.7761
193,Dogs In A Pile,2023-12-16,19:00:00,Rock,The Stone Pony,Asbury Park,NJ,-74.00071097,40.220001
194,Lar Enterprises Presents Holiday Doo Wop,2023-12-16,19:00:00,Rock,NYCB Theatre at Westbury,Westbury,NY,-73.56055321,40.77517125
195,Bobby Weir & Wolf Bros Featuring The Wolfpack,2023-12-16,19:30:00,Rock,The Capitol Theatre,Port Chester,NY,-73.6654488,41.0013461
196,A Celtic Christmas by a Taste of Ireland presented by Pace Live,2023-12-16,19:30:00,World,Bardavon 1869 Opera House,Poughkeepsie,NY,-73.928672,41.70304
197,What's The Word 2023: The Celebration,2023-12-16,19:30:00,Religious,Apollo Theater,New York,NY,-73.95013312,40.80986245
198,Jon Pardi: A Very Merry Christmas,2023-12-16,20:00:00,Country,Beacon Theatre,New York,NY,-73.980673,40.779925
199,Kidd G,2023-12-16,20:00:00,Country,Toad's Place,New Haven,CT,-72.9293225,41.311648
200,Engelbert Humperdinck,2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAev', 'name': 'Pop'}",Great Cedar Showroom at Foxwoods Resort Casino,Mashantucket,CT,-71.975699,41.4489233
201,Bret Michaels,2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Mohegan Sun Arena,Uncasville,CT,-72.0914563,41.4915974
202,Queens College Choral Society 83rd Annual Winter Concert,2023-12-16,20:00:00,"{'id': 'KnvZfZ7v7lA', 'name': 'Music'}",Kupferberg Center for the Arts,Queens,NY,-73.816343,40.738456
203,Cecilia Chorus of New York,2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAvl', 'name': 'Other'}",Stern Auditorium / Perelman Stage at Carnegie Hall,New York,NY,-73.985298,40.765202
204,Little Shop of Horrors,2023-12-16,20:00:00,"{'id': 'KnvZfZ7v7l1', 'name': 'Theatre'}",Westside Theatre Upstairs - NY,New York,NY,-73.9758,40.785999
205,"El Chacal, Live Concert.",2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAJ6', 'name': 'Latin'}",Ritz Theatre,Elizabeth,NJ,-74.2133999,40.6644999
206,Moon Hooch,2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAee', 'name': 'R&B'}",Brooklyn Made,Brooklyn ,NY,-73.92193,40.70708
207,Speedy Ortiz,2023-12-16,20:00:00,"{'id': 'KnvZfZ7vAeA', 'name': 'Rock'}",Bowery Ballroom,New York,NY,-73.993542,40.720364
